ime,država,zvrst,leto,status
Vintersorg,Sweden,"Viking,Progressive,Folk",1994,1
ZnÃ¶white,United States,"Thrash,Speed",1982,3
Requiem,Finland,Power,1999,3
...and Oceans,Finland,"Electronic,Symphonic,Black,Industrial",1995,5
Onward,United States,"Heavy,Power",2000,3
Bloodbath,Sweden,Death,1998,1
Bolt Thrower,United Kingdom,Death,1986,3
Crowbar,United States,Sludge,1990,1
Diabolical Masquerade,Sweden,"Black,Atmospheric",1993,3
Tearstained,United States,Black,1995,1
Pestilence,Netherlands,"Thrash,Fusion,Death,Jazz,Progressive",1986,1
Disavowed,Netherlands,"Death,Brutal",2000,1
Severe Torture,Netherlands,Death,1997,1
Brodequin,United States,"Death,Brutal",1998,1
God Dethroned,Netherlands,"Death,Blackened",1991,1
Dimension Zero,Sweden,"Melodic,Thrash,Death",1995,1
Witchburner,Germany,Thrash,1992,1
Black Label Society,United States,"Groove,Southern",1998,1
Corrosion of Conformity,United States,"Sludge,Southern,Crossover",1982,1
Carnal Forge,Sweden,"Thrash,Death",1997,1
Overdose,Brazil,"Thrash,Groove,Power",1983,3
Artillery,Denmark,Thrash,1982,1
Demilich,Finland,"Technical,Death",1990,1
Raise Hell,Sweden,"Thrash,Black",1997,1
Altar,Netherlands,Death,1990,1
Imagika,United States,"Thrash,Power",1993,3
Breaker,United States,Heavy,1982,1
King Diamond,Denmark,Heavy,1985,1
Solitude Aeturnus,United States,"Epic,Doom",1988,1
Ripper,United States,Heavy,1977,1
Krabathor,Czech Republic,"Thrash,Death",1984,1
Thor,Canada,"Heavy,Hard,Power,Rock",1977,1
Nocturnal Rites,Sweden,"Death,Power",1990,4
Wizzard,Finland,"Heavy,Blackened",1995,4
Galgeras,Netherlands,Black,1999,1
Behemoth,Poland,"Death,Black",1991,1
Warlord,United States,"Heavy,Power",1980,1
Miasma,Austria,Death,1990,3
rehtaF ruO,United States,Black,1997,1
Scanner,Germany,"Heavy,Power",1986,1
Pentagram,Turkey,"Thrash,Heavy,Eastern,Folk,Middle",1987,1
Celtic Frost,Switzerland,"Thrash,Gothic,Death,Black,Doom",1984,3
Grand Belial's Key,United States,Black,1992,1
Paradox,Germany,"Thrash,Speed,Power",1986,1
ÐÑÐ¸Ñ,Russia,Heavy,1985,1
Disciples of Power,Canada,"Thrash,Death",1987,1
Hatework,Italy,Thrash,1996,3
Unida,United States,Stoner,1998,1
Abhorrent,Brazil,"Thrash,Groove",1988,3
Desaster,Germany,"Thrash,Black",1988,1
Melissa,Russia,Death,1992,1
Armored Saint,United States,Heavy,1982,1
Massacre,United States,Death,1984,3
Corrosion,Paraguay,"Thrash,Heavy",1992,1
Alas,United States,"Operatic,Progressive",1995,4
Liege Lord,United States,"Speed,Power",1984,1
Autopsy,United States,Death,1987,1
Danzig,United States,"Heavy,Doom,Rock",1987,1
Hellhammer,Switzerland,"Thrash,Black,Speed",1982,3
Novembers Doom,United States,"Death,Doom",1992,1
Apollyon Sun,Switzerland,Industrial,1995,3
FortÃ©,United States,"Thrash,Power",1987,1
Evoken,United States,"Death,Funeral,Doom",1994,1
Arcturus,Norway,"Black,Atmospheric,Progressive",1991,1
Thanatos,Netherlands,"Thrash,Death",1984,1
Beyond Twilight,Denmark,Progressive,1996,3
Bruce Dickinson,United Kingdom,"Heavy,Rock",1989,2
Slough Feg,United States,Heavy,1990,1
Majesty,Germany,"Heavy,Power",1997,1
P.I.T.T.,South Africa,"Thrash,Death",1996,3
Witchfinder General,United Kingdom,"NWOBHM,Doom",1979,4
Crystal Castle,Canada,Power,1999,1
Unexpect,Canada,Progressive,1996,3
Obscenity,Germany,Death,1989,1
Atheist,United States,"Thrash,Death,Jazz,Progressive",1988,1
