ime,drz,zvrst,leto,status
Heidenreich,Austria,Avant-garde Black Metal,1997,Split-up
Rigor Mortis,United States,Thrash Metal,1983,Changed name
Mastifal,Argentina,"Thrash/Death Metal (early), Melodic Death/Groove Metal (later)",1995,Split-up
Exciter,Canada,Speed Metal,1980,Active
Khold,Norway,Black Metal,2000,Active
Repudilation,United States,Brutal Death Metal,1994,Split-up
Cathedral,United Kingdom,Doom/Stoner Metal,1989,Split-up
Diabolic,United States,Death Metal,1996,Active
Thou Art Lord,Greece,"Black Metal (early), Black/Death/Thrash Metal (later)",1993,Active
Cyclone,Belgium,Thrash Metal,1981,Split-up
Death SS,Italy,"Doom/Heavy/Speed Metal (early), Industrial Metal (later)",1977,Active
Autumn Leaves,Denmark,"Death Metal (1993-1998), Melodic Death Metal (1998-2001)",1993,Split-up
Stormwitch,Germany,Heavy/Power Metal,1981,Active
Threshold,United Kingdom,Progressive Metal,1988,Active
Nitro,United States,Glam/Heavy Metal,1987,Split-up
Decoryah,Finland,Gothic Metal,1989,Split-up
Internal Bleeding,United States,Brutal Death Metal,1991,Active
Leviathan,United States,Power/Progressive Metal,1989,Active
Summer Dying,United States,Melodic Death Metal,2001,Split-up
Repulsion,United States,Grindcore/Death Metal,1986,Active
Wigrid,Germany,Black Metal,1998,Active
Bethlehem,Germany,"Black/Doom Metal (early), Experimental Rock/Metal (later)",1991,Active
Wrath,United States,Thrash Metal,1982,Active
Gorguts,Canada,Technical/Avant-garde Death Metal,1989,Active
Averse Sefira,United States,Black Metal,1996,Split-up
Abruptum,Sweden,"Death Metal (early), Black Metal/Noise/Power Electronics (later)",1989,Active
Royal Hunt,Denmark,Melodic Progressive Metal,1989,Active
Raven,United Kingdom,"NWOBHM, Speed Metal",1974,Active
Leatherwolf,United States,Heavy/Power Metal,1981,Active
Thorns,Norway,Black/Industrial Metal,1991,Active
Panic,United States,Thrash Metal,1987,Split-up
Sort Vokter,Norway,"Black Metal, Ambient",1994,Split-up
Myrkskog,Norway,"Black Metal (early), Brutal Death Metal (later)",1993,Active
Impending Doom,Germany,Black/Death/Thrash Metal,1995,Split-up
Raven,Norway,Black Metal,1993,On hold
Corpus Christii,Portugal,Black Metal,1998,Active
Pagan Altar,United Kingdom,"NWOBHM, Doom Metal",1978,Active
HellVomit,United States,Black Metal,2001,Split-up
Blasphemy,Canada,Black/Death Metal,1984,Active
Horde of Worms,Canada,Black/Death Metal/Grindcore,1996,Split-up
Impure,Germany,Death Metal,1997,Split-up
Kalibas,United States,"Brutal Death Metal/Grindcore (early), Black/Death Metal/Grindcore (later)",1999,Split-up
Fermento,Spain,Brutal Death Metal,1991,Active
Reflection,Greece,Epic Heavy Metal,1992,Active
Piledriver,Canada,Power/Thrash Metal,1984,Changed name
Pyogenesis,Germany,"Death/Doom Metal (early), Gothic Metal, Alternative Rock/Pop Punk (later)",1991,Active
Aborym,Italy,Industrial Black Metal,1992,Active
Hellion,United States,Heavy/Speed Metal,1982,Active
Catasexual Urge Motivation,Japan,Death Metal/Goregrind,1992,Unknown
Enthroned,Belgium,Black Metal,1993,Active
Craft,Sweden,Black Metal,1998,Active
Ashen Light,Russia,"Folk/Black Metal (early), Black Metal with Symphonic elements (later)",1997,Active
Castrum,Ukraine,Technical/Melodic Death Metal,1994,Active
Garden of Shadows,United States,Atmospheric/Melodic Death Metal,1996,Split-up
Behind the Scenery,Germany,Melodic Death Metal,1994,Active
Embraced,Sweden,Melodic Black Metal,1993,Split-up
The Forsaken,Sweden,Melodic Death/Thrash Metal,1999,Active
Demolition Hammer,United States,"Thrash Metal (early), Groove Metal (later)",1986,Active
Dream Evil,Sweden,Heavy/Power Metal,1999,Active
Extol,Norway,"Technical Death Metal (early), Progressive Death/Thrash Metal, Progressive Metal/Alternative Rock",1993,Active
Equinox,Norway,Technical Thrash Metal,1986,Split-up
Aurora,Denmark,Melodic Death Metal,1994,Split-up
Abominant,United States,"Death Metal, Melodic Death Metal",1993,Active
The Belonging,United Kingdom,Melodic Black/Death Metal,1998,Active
Aceldama,United States,Thrash Metal,1992,Split-up
Shadow,Japan,Melodic Death Metal,1993,On hold
Hexx,United States,"Power/Thrash Metal (1984-1986), Death Metal (1988-1991)",1983,Active
Lividity,United States,Brutal Death Metal,1993,Active
Epheles,France,Black Metal,1997,Active
Nocturnal Worshipper,Brazil,Black Metal,1993,Split-up
Tefra,United Kingdom,Doom Metal,1996,Split-up
The Embraced,Norway,Melodic Death Metal,1997,Split-up
Deep Purple,United Kingdom,Heavy Metal/Hard Rock,1968,Active
Bloodshed,Sweden,Black/Death Metal,1999,Split-up
Platform Black,United States,Melodic Death Metal,1997,Split-up
Divine Souls,Sweden,Melodic Death Metal,1997,Split-up
Zonata,Sweden,Neoclassical Power Metal,1998,Split-up
Novembre,Italy,Progressive Gothic/Doom/Death Metal,1993,Active
Terra Firma,Sweden,Heavy Metal/Stoner Rock,1995,Split-up
The Storyteller,Sweden,Power Metal,1995,Active
ÐÑÑÐ¸Ð·,Russia,"Pop/Rock (early), Speed Metal (later)",1978,Active
Shah,Russia,Thrash Metal,1985,Split-up
PokolgÃ©p,Hungary,Power/Speed Metal,1981,Active
Riot,United States,Heavy/Power/Speed Metal,1975,Active
Spinal Tap,United Kingdom,"Hard Rock, Heavy Metal",1982,Active
Shape of Despair,Finland,Atmospheric/Funeral Doom Metal,1998,Active
Akashic,Brazil,Symphonic Progressive Metal,1998,Split-up
Viking,United States,Thrash Metal,1986,Active
Pretty Maids,Denmark,Melodic Heavy Metal,1981,Active
Mystic,Brazil,Thrash Metal,2001,Changed name
Attack,Germany,Heavy/Power Metal,1983,Active
Biomechanical,United Kingdom,Progressive/Groove Metal,2001,On hold
Avenger,Czech Republic,Black/Death Metal,1992,Active
Hellion,Argentina,Heavy Metal,1982,Active
Abrogation,Germany,Melodic Death Metal,1995,Active
Guerrilla,Germany,Thrash/Death Metal,1994,Split-up
Shamash,Mexico,Blackened Atmospheric Death Metal,1994,Split-up
Rush,Canada,"Progressive Rock, Hard Rock/Heavy Metal (early)",1968,Active
Tarantula,Portugal,Power Metal,1981,Active
Ulver,Norway,"Black/Folk Metal (1993-1997), Ambient/Avant-garde/Electronica (1998-)",1993,Active
Prong,United States,"Crossover/Thrash Metal (early, present), Groove/Industrial Metal (later)",1986,Active
Ð¤ÑÐ¾Ð½Ñ,Russia,Thrash Metal,1987,Active
Obsession,United States,Heavy/Power Metal,1982,Active
Oliver Magnum,United States,Power/Speed Metal,1983,Split-up
Fifth Angel,United States,Power Metal,1983,Unknown
Deliverance,United States,"Speed/Thrash Metal, Industrial",1985,Active
Ð§ÑÑÐ½ÑÐ¹ ÐÐ±ÐµÐ»Ð¸ÑÐº,Russia,Thrash/Heavy Metal,1986,Active
Artisan,United States,Thrash Metal,2000,Unknown
Destructor,United States,Power/Thrash Metal,1983,Active
Heretic,United States,Power/Thrash Metal,1985,Active
Illdisposed,Denmark,"Death Metal (early), Melodic Death/Groove Metal (later)",1991,Active
Ruffians,United States,Melodic Heavy Metal,1983,Active
Chastisement,Sweden,Melodic Death Metal,1993,Split-up
Bestial Warlust,Australia,Black/Death Metal,1993,Split-up
Sindrome,United States,Thrash Metal,1986,Split-up
Tramontane,United States,Heavy/Power Metal,1987,Active
Ð§ÑÑÐ½ÑÐ¹ ÐÐ¾ÑÐµ,Russia,Heavy Metal,1981,Active
Night to Die,Spain,Folk Melodic Death Metal,1994,On hold
Witchkiller,Canada,Heavy Metal,1981,Unknown
Shok Paris,United States,Heavy/Power Metal,1982,Active
Evildead,United States,Thrash Metal,1987,Active
Burning Inside,United States,Technical Death Metal,1995,Split-up
Ossian,Hungary,Heavy/Power Metal,1986,Active
Trail of Tears,Norway,"Gothic Metal (early), Symphonic Gothic/Black Metal (later)",1997,Split-up
Morgue,France,Brutal Death Metal/Grindcore,1997,Active
InfernÃ¤l MÃ¤jesty,Canada,Thrash Metal,1986,Active
Magnitude 9,United States,Progressive/Neoclassical Metal,1997,Unknown
Without Grief,Sweden,Melodic Death Metal,1995,Split-up
Forest of Shadows,Sweden,Melodic Doom/Death Metal,1997,Active
The Third and the Mortal,Norway,"Melodic Doom Metal (early), Experimental/Pop/Industrial (later)",1992,Split-up
Spiral Architect,Norway,Technical/Progressive Metal,1993,On hold
Amaran,Sweden,Power Metal,2000,Split-up
Devin Townsend,Canada,"Progressive Metal, Ambient",1997,Active
Nasum,Sweden,Grindcore,1992,Split-up
The Project Hate MCMXCIX,Sweden,Industrial Death Metal,1999,Active
Winds,Norway,Neoclassical Progressive Metal,1998,On hold
Fredrik Thordendal's Special Defects,Sweden,Experimental/Djent,1996,Active
Final Prophecy,Germany,Epic Power/Speed Metal,1988,Split-up
God Forbid,United States,Melodic Thrash Metal/Metalcore,1996,Split-up
Amulance,United States,Power/Speed Metal,1984,Active
Pro-Pain,United States,"Hardcore, Groove/Thrash Metal",1991,Active
Secrecy,Germany,Progressive Metal,1987,Unknown
Cenotaph,Turkey,Brutal Death Metal,1994,Active
Coffin Texts,United States,Death Metal,1994,Active
Syris,United States,Power/Progressive Metal,1995,Split-up
Arkadia,Canada,Black Metal,2000,Split-up
Savage Grace,United States,Power/Speed Metal,1981,Unknown
Sacrilege,Sweden,Melodic Death Metal,1993,Split-up
Det Hedenske Folk,Norway,Black Metal,1993,Split-up
Ceremonial Oath,Sweden,"Death Metal (early), Melodic Death Metal (later)",1991,Active
Necromancia,Brazil,Thrash/Groove Metal,1984,Active
Gutrix,Denmark,Stoner/Heavy Metal,1995,Split-up
Behind the Curtain,Denmark,Technical Progressive Metal,1995,Split-up
Zero Hour,United States,Progressive Metal,1993,Split-up
Defaced Creation,Sweden,Death Metal,1994,Split-up
Necrosis,Chile,Thrash Metal,1985,Active
Vastator,Chile,Speed Metal,1986,Active
Panzer,Spain,Heavy Metal,1981,Active
Bludgeon,United States,"Thrash Metal (early), Death Metal (later)",1992,Active
Nocturnal Breed,Norway,Thrash/Black Metal,1996,Active
Sadistik Exekution,Australia,Death/Black Metal,1986,Split-up
Dominus Praelii,Brazil,Heavy/Power Metal,2000,Active
Byfist,United States,Power Metal,1987,Active
Kotipelto,Finland,Power Metal,2001,Active
The Year of Our Lord,United States,Melodic Death Metal,1997,Unknown
Terror 2000,Sweden,Thrash/Melodic Death Metal,1999,Active
Abigail,Japan,Black/Thrash Metal,1992,Active
All That Remains,United States,"Metalcore/Melodic Death Metal (early), Metalcore/Melodic Hard Rock (later)",1998,Active
Hellwitch,United States,Technical Death/Thrash Metal,1984,Active
Grabesmond,Austria,Avant-garde Ambient/Classical/Medieval,1995,Split-up
The AccÃ¼sed,United States,Thrash Metal/Crossover,1980,Active
Die Verbannten Kinder Evas,Austria,Ambient/Darkwave/Neoclassical,1993,Split-up
Wehrmacht,United States,Crossover/Thrash Metal,1985,Active
Abazagorath,United States,Black Metal,1995,Active
Divinity,Canada,Technical Melodic Death Metal,1999,Active
Toxik,United States,Technical Speed/Thrash Metal,1985,Active
Baphomet's Wrath,Austria,Melodic Black Metal,2000,Split-up
Varathron,Greece,Black Metal,1988,Active
Demon in a Manger,Germany,Power Metal,N/A,Unknown
Spectre Dragon,Germany,Death/Thrash Metal,1991,Changed name
Silent Stream of Godless Elegy,Czech Republic,Doom/Folk Metal,1995,Active
Goetia,Poland,Black Metal,1996,Active
Lordian Guard,United States,Epic Heavy Metal,1995,Split-up
Oil,United States,Thrash Metal,1997,Split-up
Moon Lore,Norway,"Ambient/Black Metal, Gothic Metal, Electronica",1992,Active
Non Serviam,Sweden,Black/Death Metal,1996,On hold
Sacriversum,Poland,"Death/Thrash Metal (early), Gothic Metal (later)",1992,Split-up
Racer X,United States,Heavy Metal/Shred,1984,On hold
Suhrim,Belgium,Brutal Death Metal,1989,Split-up
Despirited,Canada,Black/Death Metal,2000,Split-up
Gernoth,Germany,Black Metal,1997,Split-up
Anaal Nathrakh,United Kingdom,Industrial Black Metal/Grindcore,1999,Active
Lilitu,United States,"Black/Gothic Metal (early), Melodic Death/Black/Gothic Metal (later)",1995,Unknown
Ninnghizhidda,Germany,Symphonic Black Metal,1997,Split-up
Crimson Thorn,United States,Death Metal,1991,Unknown
Carpe Tenebrum,Norway,"Black Metal, Death Metal",1995,Split-up
Ephel Duath,Italy,"Progressive Post-Black Metal (early), Avant-garde Jazz/Metal (later)",1998,Split-up
F.K.Ã.,Sweden,Thrash Metal,1987,Active
Abysmal Fall,United States,Black/Death Metal,1998,Active
AccuÂ§er,Germany,"Thrash Metal (1986-1992), Groove/Thrash Metal (1994-)",1986,Active
Thorazine,Canada,Thrash/Death Metal/Grindcore,1996,Split-up
A-II-Z,United Kingdom,NWOBHM,1979,Changed name
King Ring Nansy,Canada,Melodic Heavy Metal,1997,Unknown
Gravestone,Germany,"Progressive Rock (1977-1980), Heavy Metal (1980-1990)",1977,Changed name
Angus,Netherlands,Heavy Metal,1983,Split-up
Bethzaida,Norway,Death/Black Metal,1993,Split-up
Channel Zero,Belgium,Thrash/Groove Metal,1990,Active
Gorefest,Netherlands,"Death Metal (1989-1995, 2005-2009), Death 'n' Roll (1996-1998)",1989,Split-up
Place of Skulls,United States,Doom Metal,2000,Active
Faustcoven,Norway,Black/Doom Metal,2002,Active
Encryption,Germany,Thrash/Progressive/Power Metal,1997,Active
Riffmaster General,United Kingdom,Heavy Metal,1998,Unknown
Atomizer,Australia,Thrash/Black Metal,1998,Split-up
Beholder,Italy,Melodic Heavy Metal,1998,Split-up
Berserks,Italy,Heavy Metal,1980,Active
MalÃ³n,Argentina,Thrash/Groove Metal,1995,Active
BlastFame,Canada,Technical Death Metal,1998,Split-up
Viu Drakh,Germany,Crust/Death Metal,1993,Split-up
Brujeria,Mexico,Death Metal/Grindcore,1989,Active
Rotor,Hungary,"Heavy/Speed Metal (early), Heavy/Power Metal (later)",1986,Active
Gontyna Kry,Poland,Black Metal,1993,Active
Necrophobic,Sweden,Death/Black Metal,1989,Active
Cardinal Sin,Sweden,Melodic Death/Black Metal,1995,On hold
Dracena,Sweden,Thrash/Death Metal,1994,Active
Dreamsfear,Ireland,Heavy/Thrash Metal,1994,Split-up
Dwelling Madness,United States,Technical Death Metal,1988,Active
Dysrhythmia,United States,Technical Progressive Rock/Metal,1998,Active
Red Giant,United States,Stoner/Doom Metal,1991,Active
Satariel,Sweden,Black Metal (early) - Melodic Death Metal (later),1993,Active
Latzen,Spain,Power/Thrash Metal,1993,Split-up
Circle of Nero,United States,"Progressive Metal, Doom Metal",N/A,Unknown
Edge,United States,Heavy/Progressive Metal,1999,Split-up
Mastodon,United States,"Progressive/Sludge Metal (early), Progressive Metal/Rock (later)",1999,Active
Open Grave,United States,Black Metal,1999,Active
Corpsefucking Art,Italy,Brutal Death Metal,1996,Active
Abuse,Canada,Brutal Death Metal/Grindcore,1999,Active
Severed Remains,United States,Brutal Death Metal,2001,Active
Mutilated,United States,Brutal Death Metal,2000,On hold
Brutality Reigns Supreme,Netherlands,Grindcore,1998,Split-up
Scholomance,United States,Extreme Progressive Metal,1995,Split-up
Petrified,France,Brutal Death Metal,1999,Active
Freak Kitchen,Sweden,Experimental Heavy Metal,1992,Active
Forlorn,Norway,Melodic Black/Viking Metal,1992,Split-up
Eric Friesen,United States,Neoclassical Metal,1999,Split-up
Tulus,Norway,Black Metal,1993,Active
Tsjuder,Norway,Black Metal,1993,Active
Strangulation,Sweden,Brutal Death Metal,2001,Split-up
Mr. Bungle,United States,"Death Metal (early), Avant-garde Metal/Fusion (later)",1985,Split-up
Decayed,Portugal,Black Metal,1990,Active
FantÃ´mas,United States,Avant-garde Metal,1998,Active
Gordian Knot,United States,Progressive Metal/Rock,1998,Unknown
Power of Omens,United States,Progressive Metal,1994,Split-up
Ibex Throne,United States,Black Metal,1997,Split-up
Evergrey,Sweden,Progressive/Power Metal,1995,Active
Troll,Norway,Black Metal,1993,Active
Aesma Daeva,United States,Operatic Symphonic Metal,1996,Active
Deceased,United States,Death/Thrash Metal,1985,Active
Sirenia,Norway,Symphonic/Gothic Metal,2001,Active
Vision Divine,Italy,Power/Progressive Metal,1998,Active
Pissing Razors,United States,Groove Metal,1994,Active
Haruc,Germany,Folk Metal,1997,Split-up
Cryptic Slaughter,United States,Thrash Metal/Crossover,1984,Split-up
Nailbomb,United States,Industrial Thrash Metal,1993,Split-up
Ancient Ceremony,Germany,Melodic Black Metal,1989,Split-up
Vanden Plas,Germany,Progressive Metal,1986,Active
Fozzy,United States,Heavy Metal,1999,Active
Vinterland,Sweden,Melodic Black Metal,1992,Active
Sheavy,Canada,Stoner/Doom Metal,1994,Active
Tristitia,Sweden,Blackened Doom Metal,1992,On hold
Silentium,Finland,"Symphonic/Doom/Gothic Metal (early), Gothic Metal (later)",1995,Active
SiebenbÃ¼rgen,Sweden,Melodic Black Metal,1994,Split-up
Allegiance,Sweden,"Death Metal (early), Black/Viking Metal (later)",1989,Active
Throne of Chaos,Finland,"Melodic Death Metal (early), Power/Progressive Metal (later)",1995,Split-up
Necronomicon,Canada,Death Metal,1988,Active
Shadow Gallery,United States,Progressive Metal,1985,Active
Madsword,Italy,Progressive Metal,1986,Split-up
Digital Ruin,United States,Progressive Metal,1988,Split-up
Defyance,United States,Progressive Metal,1989,Active
Explorers Club,United States,Progressive Metal,1998,Split-up
Divine Decay,Finland,Thrash Metal,1999,On hold
Rock Goddess,United Kingdom,"NWOBHM, Heavy Metal",1977,Active
Eniac Requiem,United States,Progressive Metal,N/A,Split-up
DGM,Italy,Progressive/Power Metal,1994,Active
Anonymus,Canada,Thrash Metal,1989,Active
Zyklon-B,Norway,Black Metal,1995,Split-up
King's X,United States,"Heavy Metal, Rock",1985,Active
Darkseed,Germany,"Death/Doom Metal (early), Gothic/Heavy Metal (later)",1992,On hold
DÃ¸dheimsgard,Norway,"Black Metal (early), Avant-garde/Black/Industrial Metal (later)",1994,Active
Golden Dawn,Austria,Melodic Black/Gothic Metal,1992,Active
Kachana,United Kingdom,Speed/Thrash Metal,1998,Unknown
Ayreon,Netherlands,Progressive Metal/Rock,1994,Active
Sirius,Portugal,Symphonic Black Metal,1994,Split-up
Kraken,Colombia,Heavy Metal/Hard Rock,1984,Active
MÃ¶rk Gryning,Sweden,Black Metal,1993,Active
Blinded by Faith,Canada,"Melodic Black Metal (early), Melodic Death Metal (later)",1996,Active
Moonlyght,Canada,Progressive Metal with Folk influences,1995,Active
Heavenly,France,Power Metal,1994,Active
Beyond the Embrace,United States,Melodic Death Metal,2000,Split-up
Titan Force,United States,Progressive/Power Metal,1987,Active
Adramelch,Italy,Power/Progressive Metal,1986,Split-up
Parish,United States,Power Metal,1993,Split-up
Capricorn,Germany,Power/Speed Metal,1991,Split-up
Drifter,Switzerland,"Heavy Metal (early), Thrash Metal (later)",1983,Split-up
Glenmore,Germany,Melodic Heavy Metal,1982,Split-up
Halloween,United States,Heavy Metal,1983,Active
Headhunter,Germany,Power/Thrash Metal,1989,On hold
Sieges Even,Germany,"Progressive Thrash Metal (early), Progressive Metal (later)",1985,Split-up
Tokyo Blade,United Kingdom,"NWOBHM, Heavy Metal",1982,Active
Grim Force,Japan,Thrash Metal,1999,Active
Faerghail,Finland,"Dark Metal, Melodic Black/Gothic Metal",1995,Active
Trans-Siberian Orchestra,United States,Orchestral/Progressive Rock/Metal,1993,Active
Culprit,United States,Heavy Metal,1981,Active
Q5,United States,Heavy Metal/Hard Rock,1983,Active
Hittman,United States,Power Metal,1984,Split-up
Legion,United States,Heavy Metal,1985,Split-up
Lonewolf,France,Speed/Heavy Metal,1992,Active
Morgana Lefay,Sweden,Power/Thrash/Groove Metal,1989,Active
Abyssos,Sweden,Melodic Black Metal,1995,Split-up
Dawn,Sweden,"Melodic Death Metal (early), Melodic Black Metal (later)",1990,Active
Beseech,Sweden,Gothic Metal,1992,Active
Darkwell,Austria,Gothic/Doom Metal,1999,Active
Satan's Host,United States,"Heavy Metal (early), Black/Death Metal (mid), Blackened Heavy/Power Metal (later)",1977,Active
Pariah,United Kingdom,Power/Thrash Metal,1988,Changed name
Jaguar,United Kingdom,NWOBHM,1979,Active
Zero Based Perception,Canada,Thrash/Death Metal,1999,Split-up
Arcane,United States,Heavy/Progressive Metal,1985,Split-up
Schaliach,Norway,Melodic Death Metal,1995,Split-up
Ember,United States,Black/Thrash Metal,1994,Split-up
Sadistic Intent,United States,Death Metal,1987,Active
Rotting,Canada,Brutal Death Metal,1992,Split-up
Forever the Pain,Canada,Death/Thrash Metal,1996,Active
Witchfynde,United Kingdom,NWOBHM,1973,Active
Manipulated Slaves,Japan,Melodic Death/Thrash Metal,1994,Active
Battle Bratt,United States,"Power Metal (early), Electronic/Heavy Metal (later)",1984,Active
Chroming Rose,Germany,Melodic Speed Metal/Rock,1985,Split-up
Epoch of Unlight,United States,Melodic Death/Black Metal,1994,Active
Centurian,Netherlands,Death Metal,1997,Split-up
A.S.A.P.,United Kingdom,Hard Rock/Heavy Metal,1989,Split-up
Despair,Germany,Technical Thrash/Speed Metal,1986,Split-up
Dividing Horizons,Germany,Progressive Metal,1993,Split-up
Dreamscape,Germany,Progressive Metal,1986,Active
Fatal Opera,United States,Technical Thrash/Speed Metal,1991,Split-up
Hawaii,United States,Speed/Power Metal,1983,Split-up
Anialator,United States,Thrash Metal,1986,Active
Cerber,Russia,Death Metal,1997,Split-up
Damien Thorne,United States,Heavy/Speed Metal,1983,Active
Holy Terror,United States,Thrash/Speed Metal,1986,Split-up
Impaler,United Kingdom,Death Metal,1991,Split-up
Death Power,France,Thrash Metal,1986,Split-up
Intruder,United States,Technical Thrash/Speed Metal,1987,On hold
Ivanhoe,Germany,Progressive Metal,1986,Active
Jackal,Denmark,Heavy/Power Metal,1987,Split-up
Zoser Mez,Denmark,Heavy Metal,1989,Split-up
Medalyon,United States,Power Metal,1987,Unknown
Kublai Khan,United States,Thrash Metal,1984,Split-up
Last Descendants,United States,Heavy/Speed/Thrash Metal,1983,Split-up
Lethal,United States,Progressive Power Metal,1982,Active
Thin Lizzy,Ireland,Hard Rock/Heavy Metal,1969,Active
Infestdead,Sweden,Death Metal,1994,Split-up
Solus,Canada,Death/Thrash Metal,1995,Split-up
Devastation,United States,Thrash Metal,1986,Split-up
MahlstrÃ¸m,Belgium,Melodic Black Metal,2002,Active
Nightingale,Sweden,Melodic Progressive Rock/Metal,1994,Active
Never,Poland,Technical Melodic Death Metal,1997,Split-up
Girlschool,United Kingdom,"Heavy Metal, NWOBHM",1978,Active
Nominon,Sweden,Death Metal,1993,On hold
Masterplan,Germany,Power Metal,2001,Active
Poverty's No Crime,Germany,Progressive Metal,1991,Active
Glenn Tipton,United Kingdom,Heavy Metal/Alternative Rock/Grunge,1994,Split-up
Torque,United States,Thrash/Groove Metal,1994,Split-up
Angkor Wat,United States,Crossover/Thrash Metal,1986,Split-up
Auberon,Sweden,Melodic Death/Thrash Metal,1988,Active
Tsunami,United States,Hard Rock/Heavy Metal,N/A,Split-up
Hemdale,United States,Death Metal/Grindcore,1993,Active
Bloodlust,United States,Speed Metal,1983,Active
Coven 6669,United States,Power/Thrash Metal,1985,Active
Dammaj,United States,Heavy Metal,1981,Active
Deadly Blessing,United States,Power/Thrash Metal,1985,Active
E-X-E,United States,Thrash/Speed Metal,1984,Active
Exumer,Germany,Thrash Metal,1985,Active
Krank,United States,Heavy/Power Metal,1982,Active
Powerlord,United States,Power/Thrash Metal,1984,Split-up
Primal Scream NYC,United States,Thrash Metal,1986,Split-up
Quick Change,United States,Thrash Metal,1983,Unknown
Target,Belgium,Speed/Thrash Metal,1986,Split-up
Avenger,Germany,Power/Speed Metal,1983,Changed name
Hexenhaus,Sweden,Technical Thrash/Speed Metal,1987,Active
Massacra,France,"Death/Thrash Metal (1986-1992), Heavy/Thrash Metal (1994-97)",1986,Split-up
Napalm,United States,Thrash Metal,1986,Changed name
Nuclear Simphony,Italy,Thrash Metal,1984,Active
Holy Moses,Germany,Speed/Thrash Metal,1980,Active
Jester's March,Germany,Progressive Speed/Thrash Metal,1989,Split-up
Lizzy Borden,United States,Heavy/Power Metal,1983,Active
At Vance,Germany,Neoclassical/Power Metal,1998,Active
Mystik,United States,Power/Thrash Metal,1986,Unknown
Overload,Sweden,Heavy Metal,1987,Active
Realm,United States,Technical Thrash/Power Metal,1985,Split-up
Trauma,United States,Power/Speed Metal,1981,Active
HateSphere,Denmark,Death/Thrash/Groove Metal,2001,Active
X-Wild,Germany,Power/Speed Metal,1993,Split-up
Tchort,Canada,"Doom/Death Metal (early), Stoner Metal (later)",1992,Split-up
Bran Barr,France,Celtic Folk/Black Metal,1995,Active
Woods of Ypres,Canada,"Melodic Black Metal (early), Gothic/Doom Metal (later)",2002,Split-up
Aarni,Finland,Avant-garde Doom Metal,1998,Active
Alias,United States,Power Metal,1987,Split-up
Anvil Chorus,United States,Heavy Metal,1980,Active
Banshee,United States,Power Metal,1985,Active
Demon Flight,United States,Heavy Metal,1981,Split-up
Juggernaut,United States,Technical Progressive Thrash/Speed Metal,1984,Split-up
Maxx Warrior,United States,Heavy Metal,1980,Split-up
Mistrust,United States,Heavy Metal,1985,Split-up
Powermad,United States,Power/Thrash Metal,1984,Active
TKO,United States,Heavy Metal,1977,Split-up
Upper Echelon,United States,Heavy Metal,N/A,Split-up
Wild Dogs,United States,Power Metal,1981,Split-up
Aaronsrod,United States,Heavy Metal,1984,Active
Exxplorer,United States,Power Metal,1982,Active
Screamer,United States,Progressive Power Metal,1985,Active
Armed Forces,United States,Heavy/Power Metal,1987,Split-up
Drive,United States,Power/Progressive Metal,1986,Split-up
Malteze,United States,Heavy Metal,1985,Split-up
Nightcrawler,United States,Heavy/Power Metal,1984,Active
Powersurge,United States,Power Metal,1984,Split-up
Calderone,Germany,Speed/Power Metal,1986,Active
Toxin,Germany,Thrash Metal,1986,Active
Wallop,Germany,Heavy Metal,1983,Split-up
Acacia,Italy,Progressive Heavy Metal,1990,Split-up
Asgard,Netherlands,Speed Metal,1983,Split-up
Attentat Rock,France,Heavy Metal,1980,Active
Bodine,Netherlands,Heavy Metal,1978,Split-up
Chateaux,United Kingdom,NWOBHM,1981,Split-up
Depressive Age,Germany,Technical Thrash Metal,1988,Split-up
Enola Gay,Germany,Power Metal,1987,Split-up
Victory,Germany,Heavy Metal,1984,Active
Fact,Germany,Heavy Metal,1983,Split-up
Factory of Art,Germany,Progressive Power Metal,1990,Split-up
Fist,United Kingdom,"NWOBHM, Heavy Metal",1978,Active
H-Bomb,France,Heavy Metal,1982,Split-up
High Power,France,Heavy Metal,1977,Split-up
House of Spirits,Germany,Progressive Metal,1993,Split-up
Living Death,Germany,Thrash/Speed Metal,1981,Unknown
Maltese Falcon,Denmark,Heavy Metal,1983,Split-up
Megora,Switzerland,Power Metal,1990,Active
Voodoocult,Germany,Thrash Metal,1994,Split-up
Mezzrow,Sweden,Thrash Metal,1988,Split-up
Path of Debris,Germany,Melodic Death Metal,1992,Split-up
Midas Touch,Sweden,Technical Speed/Thrash Metal,1985,Split-up
Mind Odyssey,Germany,Progressive Metal,1993,Active
Narita,Denmark,Heavy/Power Metal,1988,Split-up
Psycho Motel,United Kingdom,Heavy Metal/Hard Rock,1993,Split-up
Pyracanda,Germany,Thrash Metal,1987,Changed name
Samson,United Kingdom,NWOBHM,1977,Split-up
Vigilante,Japan,Heavy/Progressive Metal,1988,Active
Savage,United Kingdom,"Heavy Metal, NWOBHM",1978,Active
Sevenchurch,United Kingdom,Doom Metal,1987,Split-up
Sanvoisen,Germany,Progressive Metal,1990,Split-up
Shadows of Iga,Germany,Power Metal,1993,Split-up
Stillborn,Sweden,Gothic/Doom Metal,1984,Active
Thundersteel,Germany,Power Metal,1990,Split-up
Vectom,Germany,Speed Metal,1983,Split-up
Wardance,Germany,Power/Speed Metal,1986,Split-up
